BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,29.0,1.0,500.0,1354.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,90.0,1.0,1695.0,1568.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10303.0,19.0,2.0,3026.0,2500.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10473.0,55.0,2.0,2200.0,3075.0,2.0,0.0
Brooklyn,29 COMMERCIAL GARAGES,11234.0,85.0,2.0,6000.0,5530.0,0.0,2.0
Brooklyn,06 TAX CLASS 1 - OTHER,11212.0,100.0,,2400.0,,0.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11204.0,94.0,4.0,2775.0,3510.0,4.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11209.0,95.0,3.0,2349.0,3300.0,2.0,1.0
Bronx,03 THREE FAMILY DWELLINGS,10461.0,85.0,3.0,2542.0,2811.0,3.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11204.0,95.0,3.0,4000.0,3298.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11218.0,105.0,2.0,2000.0,2134.0,2.0,0.0
Manhattan,14 RENTALS - 4-10 UNIT,10013.0,105.0,5.0,1742.0,6211.0,3.0,2.0
Brooklyn,01 ONE FAMILY DWELLINGS,11213.0,124.0,1.0,2180.0,3612.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11214.0,126.0,2.0,4833.0,2403.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11354.0,60.0,1.0,4680.0,1884.0,1.0,0.0
Manhattan,31 COMMERCIAL VACANT LAND,10029.0,,,8805.0,,0.0,0.0
Queens,05 TAX CLASS 1 VACANT LAND,11423.0,,,9304.0,,0.0,0.0
Bronx,29 COMMERCIAL GARAGES,10463.0,57.0,2.0,17500.0,17336.0,0.0,2.0
Queens,02 TWO FAMILY DWELLINGS,11413.0,38.0,2.0,4015.0,1680.0,2.0,0.0
Bronx,36 OUTDOOR RECREATIONAL FACILITIES,10457.0,,,2584.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11411.0,75.0,1.0,2000.0,1600.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,90.0,1.0,5050.0,1800.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11236.0,60.0,1.0,1800.0,1440.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10308.0,36.0,1.0,1734.0,1200.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11367.0,85.0,1.0,2500.0,1224.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11223.0,100.0,1.0,2160.0,1364.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11434.0,105.0,2.0,2000.0,1568.0,2.0,0.0
Bronx,03 THREE FAMILY DWELLINGS,10466.0,65.0,3.0,4057.0,2320.0,3.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11221.0,110.0,2.0,2500.0,2100.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11429.0,75.0,2.0,2800.0,1848.0,2.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11232.0,126.0,3.0,2003.0,2784.0,3.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,100.0,2.0,2500.0,1224.0,2.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11106.0,97.0,6.0,2850.0,4500.0,6.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11104.0,105.0,23.0,4825.0,13500.0,23.0,0.0
Manhattan,07 RENTALS - WALKUP APARTMENTS,10011.0,115.0,28.0,2582.0,5250.0,28.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11238.0,110.0,2.0,1491.0,3136.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11422.0,100.0,2.0,3929.0,1360.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11208.0,105.0,1.0,2500.0,1552.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11230.0,100.0,2.0,3333.0,2904.0,2.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10467.0,126.0,1.0,2500.0,840.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11215.0,124.0,2.0,2100.0,2783.0,2.0,0.0
Queens,27 FACTORIES,11416.0,79.0,1.0,5005.0,4900.0,0.0,1.0
Bronx,01 ONE FAMILY DWELLINGS,10469.0,70.0,1.0,2884.0,1782.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11204.0,75.0,3.0,2200.0,3206.0,3.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,75.0,1.0,1800.0,1944.0,1.0,0.0
Brooklyn,29 COMMERCIAL GARAGES,11205.0,,,2500.0,,0.0,0.0
