BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG_SALE_PRICE,BOROUGH_NAME
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,400,11,,C4,"510 EAST 5TH STREET, 9",,10009.0,18.0,0.0,18.0,2404.0,6875.0,1900.0,2,C4,280000,04/29/2025,12.54254845357358,Manhattan
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,36,,C4,106 AVENUE B,,10009.0,8.0,2.0,10.0,1919.0,7810.0,1900.0,2,C4,2000000,03/13/2025,14.508658238524095,Manhattan
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,60,,C7,511 EAST 6TH STREET,,10009.0,8.0,1.0,9.0,2150.0,6152.0,1920.0,2,C7,3400000,12/18/2024,15.039286283703994,Manhattan
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,404,42,,C4,327 EAST 10 STREET,,10009.0,10.0,0.0,10.0,2369.0,6990.0,1900.0,2,C4,4000000,08/07/2025,15.201805169084134,Manhattan
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,407,32,,C7,224 AVENUE B,,10009.0,26.0,2.0,28.0,4172.0,15174.0,1905.0,2,C7,13000000,03/24/2025,16.380459992348886,Manhattan
1,ALPHABET CITY,21 OFFICE BUILDINGS,4,376,62,,O5,703 EAST 6 STREET,,10009.0,0.0,5.0,5.0,2002.0,6970.0,1910.0,4,O5,3550000,08/28/2025,15.0824584431417,Manhattan
1,ALPHABET CITY,31 COMMERCIAL VACANT LAND,4,389,16,,V1,N/A EAST 7 STREET,,10009.0,0.0,0.0,0.0,2275.0,0.0,,4,V1,1010000,02/26/2025,13.825461878915961,Manhattan
1,ALPHABET CITY,34 THEATRES,4,399,40,,J7,195 EAST 3 STREET,,10009.0,0.0,1.0,1.0,2308.0,4224.0,1951.0,4,J7,5000000,10/31/2025,15.424948670398354,Manhattan
1,ALPHABET CITY,37 RELIGIOUS FACILITIES,4,386,14,,M1,256 EAST 4TH STREET,,10009.0,0.0,1.0,1.0,2382.0,6575.0,1900.0,4,M1,2950000,11/01/2024,14.897316067298997,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,743,63,,A9,332 WEST 20 STREET,,10011.0,1.0,0.0,1.0,1510.0,3072.0,1910.0,1,A9,8000000,12/30/2024,15.894952224644102,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,745,61,,A4,344 W 22 STREET,,10011.0,1.0,0.0,1.0,2057.0,4395.0,1910.0,1,A4,13100000,08/27/2025,16.388122864507256,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,745,63,,A4,348 WEST 22 STREET,,10011.0,1.0,0.0,1.0,2057.0,3042.0,1900.0,1,A4,13500000,07/18/2025,16.41820031748273,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,770,44,,A4,204 WEST 21ST STREET,,10011.0,1.0,0.0,1.0,1478.0,3365.0,1910.0,1,A4,7650000,07/23/2025,15.850216336521664,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,771,52,,A9,224 WEST 22ND STREET,,10011.0,1.0,0.0,1.0,1975.0,6715.0,1901.0,1,A9,10600000,08/07/2025,16.176364653421913,Manhattan
1,CHELSEA,01 ONE FAMILY DWELLINGS,1,790,64,,A4,150 WEST 15TH STREET,,10011.0,1.0,0.0,1.0,2000.0,8997.0,1920.0,1,A4,14999999,06/27/2025,16.523560759066484,Manhattan
1,CHELSEA,02 TWO FAMILY DWELLINGS,1,717,14,,B9,443 WEST 19TH STREET,,10011.0,2.0,0.0,2.0,2000.0,4875.0,1901.0,1,B9,4999999,08/28/2025,15.424948470398375,Manhattan
1,CHELSEA,02 TWO FAMILY DWELLINGS,1,742,19,,B9,331 WEST 18TH STREET,,10011.0,2.0,0.0,2.0,2147.0,4554.0,1910.0,1,B9,5000000,11/21/2024,15.424948670398354,Manhattan
1,CHELSEA,02 TWO FAMILY DWELLINGS,1,743,17,,B3,343 WEST 19 STREET,,10011.0,2.0,0.0,2.0,1397.0,4224.0,1900.0,1,B3,7800000,05/09/2025,15.86963441986494,Manhattan
1,CHELSEA,02 TWO FAMILY DWELLINGS,1,744,30,,B9,313 WEST 20 STREET,,10011.0,2.0,0.0,2.0,2300.0,9200.0,1900.0,1,B9,10600000,05/30/2025,16.176364653421913,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,719,45,,C5,402 WEST 22 STREET,,10011.0,7.0,1.0,8.0,1026.0,4788.0,1900.0,2,C5,4810000,01/03/2025,15.38620784998213,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,719,49,,C5,410 WEST 22ND STREET,,10011.0,12.0,0.0,12.0,2050.0,7980.0,1856.0,2,C5,9250000,08/22/2025,16.04013421759671,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,719,72,,C4,454 WEST 22 STREET,,10011.0,16.0,0.0,16.0,2839.0,9480.0,1900.0,2,C4,13858924,12/19/2024,16.444439987390435,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,719,73,,C5,456 WEST 22 STREET,,10011.0,15.0,0.0,15.0,2462.0,5000.0,1920.0,2,C5,5553614,12/19/2024,15.529959625036746,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,720,32,,C1,431 WEST 22 STREET,,10011.0,7.0,0.0,7.0,2469.0,5000.0,1900.0,2,C1,3019169,12/19/2024,14.920492517140062,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,720,80,,C1,466 WEST 23 STREET,,10011.0,10.0,0.0,10.0,2173.0,6135.0,1930.0,2,C1,6490270,12/19/2024,15.68581484435703,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2A,743,18,,C2,341 WEST 19 STREET,,10011.0,6.0,0.0,6.0,1397.0,4136.0,1900.0,2,C2,3095533,12/19/2024,14.9454709855671,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2A,743,19,,C2,339 WEST 19 STREET,,10011.0,6.0,0.0,6.0,1397.0,4560.0,1900.0,2,C2,4569739,12/19/2024,15.334966868472938,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,744,40,,C4,205 8 AVENUE,,10011.0,10.0,1.0,11.0,2500.0,10800.0,1900.0,2,C4,16625000,10/30/2025,16.626418204656567,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,744,41,,C4,207 8 AVENUE,,10011.0,12.0,1.0,13.0,2500.0,10800.0,1900.0,2,C4,16625000,10/30/2025,16.626418204656567,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,744,66,,C1,348 WEST 21 STREET,,10011.0,10.0,0.0,10.0,1554.0,4218.0,1920.0,2,C1,4980853,12/19/2024,15.421111920242577,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2A,744,70,,C2,356 WEST 21ST STREET,,10011.0,5.0,0.0,5.0,1604.0,5720.0,1940.0,2,C2,5000000,10/08/2025,15.424948670398354,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,745,44,,C5,310 WEST 22 STREET,,10011.0,12.0,0.0,12.0,1975.0,4540.0,1900.0,2,C5,4998287,12/19/2024,15.42460601176611,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,746,57,,C7,326 WEST 23 STREET,,10011.0,8.0,1.0,9.0,2156.0,5698.0,1900.0,2,C7,6405474,12/19/2024,15.67266365137506,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,753,29,,C5,313 WEST 29 STREET,,10001.0,10.0,0.0,10.0,2172.0,5036.0,1900.0,2,C5,6945147,12/19/2024,15.753553844238697,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2B,753,31,,C5,309 WEST 29 STREET,,10001.0,8.0,0.0,8.0,2173.0,4450.0,1900.0,2,C5,5236803,12/19/2024,15.471221946553998,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,753,32,,C1,307 WEST 29 STREET,,10001.0,18.0,0.0,18.0,2189.0,7260.0,1900.0,2,C1,8215703,12/19/2024,15.921558002677658,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2A,765,26,,C3,217 WEST 15 STREET,,10011.0,4.0,0.0,4.0,2065.0,4500.0,1901.0,2,C3,5400000,10/06/2025,15.501909696719672,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,766,55,,C5,218 WEST 17 STREET,,10011.0,113.0,0.0,113.0,9200.0,24400.0,1915.0,2,C5,12000000,02/24/2025,16.300417291085605,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,766,59,,C4,226 WEST 17 STREET,,10011.0,20.0,0.0,20.0,2300.0,9545.0,1930.0,2,C4,12000000,02/24/2025,16.300417291085605,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,770,35,,C7,205 WEST 20 STREET,,10011.0,10.0,2.0,12.0,2075.0,7730.0,1901.0,2,C7,4500000,03/21/2025,15.319588176962746,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,770,37,,C7,172 7 AVENUE,,10011.0,17.0,2.0,19.0,2106.0,6414.0,1890.0,2,C7,4500000,03/21/2025,15.319588176962746,Manhattan
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,2,770,65,,C5,246 WEST 21ST STREET,,10011.0,28.0,0.0,28.0,2582.0,5250.0,1910.0,2,C5,2600000,01/13/2025,14.77102238760702,Manhattan
